"Distance [mm]"	"Mag_B [mTesla]"
13.0951164	534.837679784622
13.1401168	535.598207234052
13.1851172	536.290897168896
13.2301176	536.915527005629
13.275118	537.471896856936
13.3201184	537.959829531712
13.3651188	538.379170535065
13.4101192	538.72978806831
13.4551196	539.01157302898
13.50012	539.224439010811
13.5451204	539.368322303754
13.5901208	539.443181893972
13.6351212	539.448999463837
13.6801216	539.385779391933
13.725122	539.253548753055
13.7701224	539.052357318207
13.8151228	538.782277554607
13.8601232	538.443404625682
13.9051236	538.035856391071
13.950124	537.559773406624
13.9951244	537.015318924401
14.0401248	536.402678892673
14.0851252	535.722061955924
14.1301256	534.973699454846
14.175126	534.157845426345
14.2201264	533.274776603535
14.2651268	532.324792415744
14.3101272	531.308214988509
14.3551276	530.225389143579
14.400128	529.076682398913
14.4451284	527.862484968681
14.4901288	526.583209763265
14.5351292	525.239292389258
14.5801296	523.831191149463
14.62513	522.359387042894
14.6701304	520.824383764779
14.7151308	519.22670770655
14.7601312	517.566907955858
14.8051316	515.845556296561
14.850132	514.063247208727
14.8951324	512.220597868638
14.9401328	510.318248148784
14.9851332	508.356860617869
15.0301336	506.337120540805
15.075134	504.259735878717
15.1201344	503.375307531187
15.1651348	503.624009125263
15.2101352	503.870237016789
15.2551356	504.113989155234
15.300136	504.355263625181
15.3451364	504.59405864633
15.3901368	504.830372573497
15.4351372	505.064203896614
15.4801376	505.295551240729
15.525138	505.524413366004
15.5701384	505.750789167718
15.6151388	505.974677676267
15.6601392	506.196078057161
15.7051396	506.384069290498
15.75014	506.444334236466
15.7951404	506.503697370012
15.8401408	506.562158357842
15.8851412	506.619716871426
15.9301416	506.676372586992
15.975142	506.732125185542
16.0201424	506.786974352836
16.0651428	506.840919779398
16.1101432	506.893961160519
16.1551436	506.946098196254
16.200144	506.99733059142
16.2451444	507.0476580556
16.2901448	507.097080303141
16.3351452	507.145597053155
16.3801456	507.193208029516
16.425146	507.239912960866
16.4701464	507.285711580606
16.5151468	507.330603626905
16.5601472	507.374588842699
16.6051476	507.41766697568
16.650148	507.459837778312
16.6951484	507.501101007819
16.7401488	507.541456426192
16.7851492	507.580903800182
16.8301496	507.61944290131
16.87515	507.657073505856
16.9201504	507.693795394869
16.9651508	507.729608354159
17.0101512	507.764512174301
17.0551516	507.798506650633
17.100152	507.831591583261
17.1451524	507.863766777053
17.1901528	507.895032041638
17.2351532	507.925387191416
17.2801536	507.954832045546
17.325154	507.983366427953
17.3701544	508.010990167327
17.4151548	508.037703097121
17.4601552	508.063505055553
17.5051556	508.088395885605
17.550156	508.112375435022
17.5951564	508.135443556317
17.6401568	508.157600106763
17.6851572	508.1788449484
17.7301576	508.199177948032
17.775158	508.218598977225
17.8201584	508.237107912312
17.8651588	508.254704634388
17.9101592	508.271389029314
17.9551596	508.287160987716
18.00016	508.302020404981
18.0451604	508.315967181263
18.0901608	508.32900122148
18.1351612	508.341122435312
18.1801616	508.352330737207
18.225162	508.362626046374
18.2701624	508.372008286788
18.3151628	508.380477387189
18.3601632	508.388033281077
18.4051636	508.394675906722
18.450164	508.400405207154
18.4951644	508.405221130171
18.5401648	508.409123628331
18.5851652	508.412112658958
18.6301656	508.414188184143
18.675166	508.415350170737
18.7201664	508.415598590356
18.7651668	508.414933419385
18.8101672	508.413354638967
18.8551676	508.410862235013
18.900168	508.407456198197
18.9451684	508.403136523958
18.9901688	508.397903212497
19.0351692	508.391756268781
19.0801696	508.384695702545
19.12517	508.37672152828
19.1701704	508.367833765248
19.2151708	508.358032437473
19.2601712	508.347317573743
19.3051716	508.33568920761
19.350172	508.323147377392
19.3951724	508.30969212617
19.4401728	508.295323501788
19.4851732	508.280041556856
19.5301736	508.26384634875
19.575174	508.246737939606
19.6201744	508.228716396327
19.6651748	508.209781790579
19.7101752	508.189934198794
19.7551756	508.169173702167
19.800176	508.147500386658
19.8451764	508.124914342988
19.8901768	508.101415666649
19.9351772	508.077004457891
19.9801776	508.05168082173
20.025178	508.025444867948
20.0701784	507.99829671109
20.1151788	507.970236470465
20.1601792	507.941264270146
20.2051796	507.919582776669
20.25018	507.920422600793
20.2951804	507.921331730851
20.3401808	507.922310166865
20.3851812	507.923357908931
20.4301816	507.92447495721
20.475182	507.925661311942
20.5201824	507.926916973428
20.5651828	507.928241942049
20.6101832	507.929636218252
20.6551836	507.931099802554
20.700184	507.932632695547
20.7451844	507.934234897889
20.7901848	507.935906410313
20.8351852	507.933587253121
20.8801856	507.931057161183
20.925186	507.928573899226
20.9701864	507.92613746742
21.0151868	507.923747865959
21.0601872	507.921405095066
21.1051876	507.919109154987
21.150188	507.916860045993
21.1951884	507.914657768384
21.2401888	507.912502322481
21.2851892	507.910393708634
21.3301896	507.908331927218
21.37519	507.906316978632
21.4201904	507.904348863301
21.4651908	507.902427581678
21.5101912	507.900553134238
21.5551916	507.898725521485
21.600192	507.905269191752
21.6451924	507.924005547441
