"Distance [mm]"	"Mag_B [tesla]"
8.9550796	0.507440940622419
9.00008	0.513675357630154
9.0450804	0.519416417902036
9.0900808	0.525254016157912
9.1350812	0.531187850262306
9.1800816	0.537217623877994
9.225082	0.543343046466003
9.2700824	0.549563833285615
9.3150828	0.555879705394364
9.3600832	0.562290389648036
9.4050836	0.568795618700673
9.450084	0.575395131004568
9.4950844	0.582088670810267
9.5400848	0.588875988166572
9.5850852	0.595756838920532
9.6300856	0.602730984717456
9.675086	0.609798193000903
9.7200864	0.61695823701268
9.7650868	0.624210895792857
9.8100872	0.631555954179752
9.8550876	0.638993202809933
9.900088	0.646522438118227
9.9450884	0.65414346233771
9.9900888	0.661856083499712
10.0350892	0.67041294533411
10.0800896	0.678928450495732
10.12509	0.687145153628838
10.1700904	0.695064335880115
10.2150908	0.702687351524439
